,Af,Am,Aw,Cfb,Cfa,Csb,Csc,Dfb,Dfc,ET
Sunflower Seeds,0,0,0,2,0,1,2,3,6,9
Sesame Seeds,10,10,10,4,7,5,4,2,0,0
Flax Seeds,2,2,2,3,3,5,3,2,0,0
Chia Seeds,5,5,5,7,7,10,7,4,2,0
Basil,3,3,3,10,6,7,10,8,4,1
Mint,5,5,5,7,7,10,7,4,2,0
Parsley,3,3,3,10,6,7,10,8,4,1
Cilantro,0,0,0,2,0,1,2,3,6,9
Thyme,3,3,3,10,6,7,10,8,4,1
Rosemary,2,2,2,3,3,5,3,2,0,0
Sage,10,10,10,4,7,5,4,2,0,0
Dill,3,3,3,10,6,7,10,8,4,1
Tarragon,10,10,10,4,7,5,4,2,0,0
Oregano,10,10,10,4,7,5,4,2,0,0
Lavender,3,3,3,10,6,7,10,8,4,1
Lemon Balm,0,0,0,2,0,1,2,3,6,9
Fennel,3,3,3,10,6,7,10,8,4,1
Celery,10,10,10,4,7,5,4,2,0,0
Bell Pepper,5,5,5,7,7,10,7,4,2,0
Chili Pepper,3,3,3,10,6,7,10,8,4,1
Okra,0,0,0,2,0,1,2,3,6,9
Eggplant,10,10,10,4,7,5,4,2,0,0
Artichoke,10,10,10,4,7,5,4,2,0,0
Asparagus,0,0,0,2,0,1,2,3,6,9
Bok Choy,0,0,0,2,0,1,2,3,6,9
Mustard Greens,0,0,0,2,0,1,2,3,6,9
Collard Greens,0,0,0,2,0,1,2,3,6,9
Arugula,3,3,3,10,6,7,10,8,4,1
Endive,2,2,2,3,3,5,3,2,0,0
Escarole,10,10,10,4,7,5,4,2,0,0
Green Onion,3,3,3,10,6,7,10,8,4,1
Garlic,2,2,2,3,3,5,3,2,0,0
Leek,5,5,5,7,7,10,7,4,2,0
Shallot,3,3,3,10,6,7,10,8,4,1
Onion,5,5,5,7,7,10,7,4,2,0
Ginger,10,10,10,4,7,5,4,2,0,0
Turmeric,10,10,10,4,7,5,4,2,0,0
Horseradish,10,10,10,4,7,5,4,2,0,0
Daikon,5,5,5,7,7,10,7,4,2,0
Turnip,0,0,0,2,0,1,2,3,6,9
Rutabaga,0,0,0,2,0,1,2,3,6,9
Yam,10,10,10,4,7,5,4,2,0,0
Parsnip,0,0,0,2,0,1,2,3,6,9
Kohlrabi,0,0,0,2,0,1,2,3,6,9
Jerusalem Artichoke,10,10,10,4,7,5,4,2,0,0
Malabar Spinach,5,5,5,7,7,10,7,4,2,0
Purslane,5,5,5,7,7,10,7,4,2,0
Dandelion Greens,2,2,2,3,3,5,3,2,0,0
Nasturtium,0,0,0,2,0,1,2,3,6,9
Sorrel,5,5,5,7,7,10,7,4,2,0
Rhubarb,5,5,5,7,7,10,7,4,2,0
Gooseberry,5,5,5,7,7,10,7,4,2,0
Currant,0,0,0,2,0,1,2,3,6,9
Cranberry,2,2,2,3,3,5,3,2,0,0
Blueberry,3,3,3,10,6,7,10,8,4,1
Blackberry,5,5,5,7,7,10,7,4,2,0
Raspberry,2,2,2,3,3,5,3,2,0,0
Strawberry,0,0,0,2,0,1,2,3,6,9
Mulberry,10,10,10,4,7,5,4,2,0,0
Fig,2,2,2,3,3,5,3,2,0,0
Kiwi,5,5,5,7,7,10,7,4,2,0
Guava,2,2,2,3,3,5,3,2,0,0
Lychee,10,10,10,4,7,5,4,2,0,0
Durian,5,5,5,7,7,10,7,4,2,0
Rambutan,0,0,0,2,0,1,2,3,6,9
Passion Fruit,10,10,10,4,7,5,4,2,0,0
Jackfruit,0,0,0,2,0,1,2,3,6,9
Breadfruit,5,5,5,7,7,10,7,4,2,0
Starfruit,3,3,3,10,6,7,10,8,4,1
Dragonfruit,10,10,10,4,7,5,4,2,0,0
Tamarind,3,3,3,10,6,7,10,8,4,1
Pomegranate,0,0,0,2,0,1,2,3,6,9
Coconut,0,0,0,2,0,1,2,3,6,9
Cashew,3,3,3,10,6,7,10,8,4,1
Pistachio,3,3,3,10,6,7,10,8,4,1
Macadamia Nut,2,2,2,3,3,5,3,2,0,0
Brazil Nut,10,10,10,4,7,5,4,2,0,0
Betel Nut,3,3,3,10,6,7,10,8,4,1
Carob,5,5,5,7,7,10,7,4,2,0
Cocoa Bean,0,0,0,2,0,1,2,3,6,9
Coffee Bean,5,5,5,7,7,10,7,4,2,0
Vanilla,2,2,2,3,3,5,3,2,0,0
Dates,2,2,2,3,3,5,3,2,0,0
Olives,2,2,2,3,3,5,3,2,0,0
Caper,5,5,5,7,7,10,7,4,2,0
Figs,3,3,3,10,6,7,10,8,4,1
Lotus Root,10,10,10,4,7,5,4,2,0,0
Arrowroot,0,0,0,2,0,1,2,3,6,9
Taro,2,2,2,3,3,5,3,2,0,0
Cassava,5,5,5,7,7,10,7,4,2,0
Seaweed,3,3,3,10,6,7,10,8,4,1
Nori,10,10,10,4,7,5,4,2,0,0
Wakame,3,3,3,10,6,7,10,8,4,1
Kombu,10,10,10,4,7,5,4,2,0,0
Alfalfa Sprouts,10,10,10,4,7,5,4,2,0,0
Mung Bean Sprouts,10,10,10,4,7,5,4,2,0,0
Chickweed,0,0,0,2,0,1,2,3,6,9
Amaranth,0,0,0,2,0,1,2,3,6,9
Quail Grass,3,3,3,10,6,7,10,8,4,1
Agave,3,3,3,10,6,7,10,8,4,1
Aloe Vera,3,3,3,10,6,7,10,8,4,1
Bamboo Shoots,5,5,5,7,7,10,7,4,2,0
Burdock Root,2,2,2,3,3,5,3,2,0,0
Cattail,2,2,2,3,3,5,3,2,0,0
Lamb's Quarters,0,0,0,2,0,1,2,3,6,9
Plantain,2,2,2,3,3,5,3,2,0,0
Prickly Pear Cactus,5,5,5,7,7,10,7,4,2,0
Watercress,10,10,10,4,7,5,4,2,0,0
Hibiscus,5,5,5,7,7,10,7,4,2,0
Rose Hips,3,3,3,10,6,7,10,8,4,1
Elderberry,3,3,3,10,6,7,10,8,4,1
Jujube,2,2,2,3,3,5,3,2,0,0
Ackee,5,5,5,7,7,10,7,4,2,0
Breadnut,3,3,3,10,6,7,10,8,4,1
Acerola,2,2,2,3,3,5,3,2,0,0
Sapote,10,10,10,4,7,5,4,2,0,0
Loquat,0,0,0,2,0,1,2,3,6,9
Santol,10,10,10,4,7,5,4,2,0,0
Longan,3,3,3,10,6,7,10,8,4,1
Mangosteen,5,5,5,7,7,10,7,4,2,0
Salak,5,5,5,7,7,10,7,4,2,0
Miracle Fruit,0,0,0,2,0,1,2,3,6,9
Wolfberry,10,10,10,4,7,5,4,2,0,0
Aronia,5,5,5,7,7,10,7,4,2,0
Medlar,0,0,0,2,0,1,2,3,6,9
Tamarillo,5,5,5,7,7,10,7,4,2,0
Pepino,5,5,5,7,7,10,7,4,2,0
Chayote,0,0,0,2,0,1,2,3,6,9
Bitter Melon,3,3,3,10,6,7,10,8,4,1
Winter Melon,10,10,10,4,7,5,4,2,0,0
Snake Gourd,10,10,10,4,7,5,4,2,0,0
Sponge Gourd,0,0,0,2,0,1,2,3,6,9
Teff,0,0,0,2,0,1,2,3,6,9
Einkorn,3,3,3,10,6,7,10,8,4,1
Spelt,5,5,5,7,7,10,7,4,2,0
Sorghum,2,2,2,3,3,5,3,2,0,0
Millet,5,5,5,7,7,10,7,4,2,0
Rye,0,0,0,2,0,1,2,3,6,9
Triticale,3,3,3,10,6,7,10,8,4,1
Kamut,0,0,0,2,0,1,2,3,6,9
Buckwheat,10,10,10,4,7,5,4,2,0,0
Wild Rice,0,0,0,2,0,1,2,3,6,9
Fonio,3,3,3,10,6,7,10,8,4,1
Farro,5,5,5,7,7,10,7,4,2,0
Adzuki Beans,5,5,5,7,7,10,7,4,2,0
Black Beans,10,10,10,4,7,5,4,2,0,0
Kidney Beans,0,0,0,2,0,1,2,3,6,9
Navy Beans,10,10,10,4,7,5,4,2,0,0
Pinto Beans,2,2,2,3,3,5,3,2,0,0
Cranberry Beans,3,3,3,10,6,7,10,8,4,1
Lupin Beans,0,0,0,2,0,1,2,3,6,9
Black-Eyed Peas,3,3,3,10,6,7,10,8,4,1
Split Peas,2,2,2,3,3,5,3,2,0,0
Chickpea,10,10,10,4,7,5,4,2,0,0
Cannellini Bean,10,10,10,4,7,5,4,2,0,0
Fava Bean,2,2,2,3,3,5,3,2,0,0
Lima Bean,10,10,10,4,7,5,4,2,0,0
Mung Bean,0,0,0,2,0,1,2,3,6,9
Soybean,10,10,10,4,7,5,4,2,0,0
Winged Bean,5,5,5,7,7,10,7,4,2,0
Hyacinth Bean,5,5,5,7,7,10,7,4,2,0
Peanuts,2,2,2,3,3,5,3,2,0,0
Pea Shoots,5,5,5,7,7,10,7,4,2,0
Wasabi,2,2,2,3,3,5,3,2,0,0
Sea Kale,10,10,10,4,7,5,4,2,0,0
Lovage,10,10,10,4,7,5,4,2,0,0
Lemon Thyme,0,0,0,2,0,1,2,3,6,9
Wild Garlic,2,2,2,3,3,5,3,2,0,0
Ramsons,10,10,10,4,7,5,4,2,0,0
Stinging Nettle,2,2,2,3,3,5,3,2,0,0
Pokeweed,2,2,2,3,3,5,3,2,0,0
Marshmallow,10,10,10,4,7,5,4,2,0,0
Sassafras,5,5,5,7,7,10,7,4,2,0
Hops,0,0,0,2,0,1,2,3,6,9
Sweet Violet,3,3,3,10,6,7,10,8,4,1
Blue Cornflower,2,2,2,3,3,5,3,2,0,0
Borage,2,2,2,3,3,5,3,2,0,0
Calendula,5,5,5,7,7,10,7,4,2,0
Chamomile,2,2,2,3,3,5,3,2,0,0
Carnation,10,10,10,4,7,5,4,2,0,0
Chrysanthemum,3,3,3,10,6,7,10,8,4,1
Marigold,5,5,5,7,7,10,7,4,2,0
Pansy,3,3,3,10,6,7,10,8,4,1
Rose,10,10,10,4,7,5,4,2,0,0
Safflower,2,2,2,3,3,5,3,2,0,0
Sunflower,3,3,3,10,6,7,10,8,4,1
Zucchini Blossoms,0,0,0,2,0,1,2,3,6,9
